GOOY DIVIDEND NORMALIZATION TABLE
COMPUTING LINE CHART WHEN FREQUENCIES CHANGE
BASED ON LAST FREQUENCY. USE ADJ PRICE FOR LINE AND UNADJ PRICE FOR BAR
USE NORMALIZED COLUMN FOR LINE IF FREQUENCY CHANGE

DATE,DIVIDEND,ADJ DIV,DAYS,TYPE,FREQ,ANNLZD,NORMALZD
2025-12-26,0.0869,0.0869,8,Regular,52,4.52,0.0869
2025-12-18,0.0917,0.0917,7,Regular,52,4.77,0.0917
2025-12-11,0.1084,0.1084,7,Regular,52,5.64,0.1085
2025-12-04,0.2508,0.2508,6,Regular,52,13.04,0.2508
2025-11-28,0.2278,0.2278,8,Regular,52,11.85,0.2279
2025-11-20,0.0999,0.0999,7,Regular,52,5.19,0.0998
2025-11-13,0.0939,0.0939,7,Regular,52,4.88,0.0938
2025-11-06,0.2802,0.2802,7,Regular,52,14.57,0.2802
2025-10-30,0.1383,0.1383,7,Regular,52,7.19,0.1383
2025-10-23,0.2096,0.2096,7,Regular,52,10.90,0.2096
2025-10-16,0.1635,0.1635,14,Regular,52,8.50,0.1635
2025-10-02,0.6935,0.6935,28,Regular,12,8.32,0.1600
2025-09-04,0.6942,0.6942,28,Regular,12,8.33,0.1602
2025-08-07,0.4491,0.4491,28,Regular,12,5.39,0.1037
2025-07-10,0.3077,0.3077,28,Regular,12,3.69,0.0710
2025-06-12,0.3978,0.3978,28,Regular,12,4.77,0.0917
2025-05-15,0.3449,0.3449,28,Regular,12,4.14,0.0796
2025-04-17,0.3729,0.3729,28,Regular,12,4.47,0.0860
2025-03-20,0.3284,0.3284,28,Regular,12,3.94,0.0758
2025-02-20,0.3877,0.3877,28,Regular,12,4.65,0.0894
2025-01-23,0.3324,0.3324,27,Regular,12,3.99,0.0767
2024-12-27,0.6332,0.6332,28,Regular,12,7.60,0.1462
2024-11-29,0.2848,0.2848,29,Regular,12,3.42,0.0658
2024-10-31,0.3771,0.3771,28,Regular,12,4.53,0.0871
2024-10-03,0.2554,0.2554,27,Regular,12,3.06,0.0588
2024-09-06,0.3577,0.3577,30,Regular,12,4.29,0.0825
2024-08-07,0.4993,0.4993,33,Regular,12,5.99,0.1152
2024-07-05,0.4679,0.4679,29,Regular,12,5.61,0.1079
2024-06-06,0.6858,0.6858,31,Regular,12,8.23,0.1583
2024-05-06,0.6677,0.6677,32,Regular,12,8.01,0.1540
2024-04-04,0.3099,0.3099,29,Regular,12,3.72,0.0715
2024-03-06,0.2554,0.2554,28,Regular,12,3.06,0.0588
2024-02-07,0.4212,0.4212,33,Regular,12,5.05,0.0971
2024-01-05,0.2298,0.2298,29,Regular,12,2.76,0.0531
2023-12-07,0.3739,0.3739,29,Regular,12,4.49,0.0863
2023-11-08,0.3905,0.3905,33,Regular,12,4.69,0.0902
2023-10-06,0.3898,0.3898,28,Regular,12,4.68,0.0900
2023-09-08,0.2914,0.2914,,Initial,12,,
