Z-Score Calculation Summary
====================================================================================================
Ticker: GAB
NAV Symbol: XGABX
Start Date: 2022-12-22
End Date: 2025-12-22
Data Points: 751
Current Premium/Discount: 9.20353982% (0.092035)
Average Premium/Discount: 4.50892050% (0.045089)
STDEV.P: 3.81880137% (0.038188)
Z-Score: 1.22934368

====================================================================================================
Daily Price and NAV Data (3-Year Window)
====================================================================================================
Date,Price,NAV,Premium/Discount (Decimal),Premium/Discount (%)
2022-12-22,5.5400,5.0400,0.09920635,9.92063492%
2022-12-23,5.5500,5.0800,0.09251969,9.25196850%
2022-12-27,5.6100,5.0900,0.10216110,10.21611002%
2022-12-28,5.4100,5.0100,0.07984032,7.98403194%
2022-12-29,5.4100,5.1000,0.06078431,6.07843137%
2022-12-30,5.4800,5.0800,0.07874016,7.87401575%
2023-01-03,5.4600,5.0800,0.07480315,7.48031496%
2023-01-04,5.5200,5.1500,0.07184466,7.18446602%
2023-01-05,5.4400,5.1000,0.06666667,6.66666667%
2023-01-06,5.4700,5.2500,0.04190476,4.19047619%
2023-01-09,5.4800,5.2500,0.04380952,4.38095238%
2023-01-10,5.5600,5.2900,0.05103970,5.10396975%
2023-01-11,5.6600,5.3500,0.05794393,5.79439252%
2023-01-12,5.7300,5.3800,0.06505576,6.50557621%
2023-01-13,5.7100,5.4100,0.05545287,5.54528651%
2023-01-17,5.6800,5.3800,0.05576208,5.57620818%
2023-01-18,5.6400,5.2800,0.06818182,6.81818182%
2023-01-19,5.6100,5.2100,0.07677543,7.67754319%
2023-01-20,5.6700,5.3000,0.06981132,6.98113208%
2023-01-23,5.7200,5.3400,0.07116105,7.11610487%
2023-01-24,5.6950,5.3600,0.06250000,6.25000000%
2023-01-25,5.7700,5.3800,0.07249071,7.24907063%
2023-01-26,5.8100,5.4000,0.07592593,7.59259259%
2023-01-27,5.8200,5.4100,0.07578558,7.57855823%
2023-01-30,5.7500,5.3700,0.07076350,7.07635009%
2023-01-31,5.8500,5.4700,0.06946984,6.94698355%
2023-02-01,5.9001,5.5100,0.07079855,7.07985481%
2023-02-02,5.9900,5.5300,0.08318264,8.31826401%
2023-02-03,5.8400,5.4900,0.06375228,6.37522769%
2023-02-06,5.8300,5.4500,0.06972477,6.97247706%
2023-02-07,5.8500,5.4800,0.06751825,6.75182482%
2023-02-08,5.8200,5.4300,0.07182320,7.18232044%
2023-02-09,5.8200,5.3900,0.07977737,7.97773655%
2023-02-10,5.7800,5.4100,0.06839187,6.83918669%
2023-02-13,5.8300,5.4800,0.06386861,6.38686131%
2023-02-14,5.8400,5.4700,0.06764168,6.76416819%
2023-02-15,5.8700,5.4900,0.06921676,6.92167577%
2023-02-16,5.8200,5.4500,0.06788991,6.78899083%
2023-02-17,5.8600,5.4900,0.06739526,6.73952641%
2023-02-21,5.7600,5.3600,0.07462687,7.46268657%
2023-02-22,5.7900,5.3600,0.08022388,8.02238806%
2023-02-23,5.8800,5.3800,0.09293680,9.29368030%
2023-02-24,5.7600,5.3200,0.08270677,8.27067669%
2023-02-27,5.8000,5.3500,0.08411215,8.41121495%
2023-02-28,5.8000,5.3200,0.09022556,9.02255639%
2023-03-01,5.8300,5.3200,0.09586466,9.58646617%
2023-03-02,5.8400,5.3600,0.08955224,8.95522388%
2023-03-03,5.9400,5.4300,0.09392265,9.39226519%
2023-03-06,5.9600,5.4100,0.10166359,10.16635860%
2023-03-07,5.8800,5.3100,0.10734463,10.73446328%
2023-03-08,5.8900,5.3200,0.10714286,10.71428571%
2023-03-09,5.7900,5.2200,0.10919540,10.91954023%
2023-03-10,5.7400,5.1000,0.12549020,12.54901961%
2023-03-13,5.6100,5.0400,0.11309524,11.30952381%
2023-03-14,5.7400,5.1300,0.11890838,11.89083821%
2023-03-15,5.7100,5.0200,0.13745020,13.74501992%
2023-03-16,5.5600,4.9400,0.12550607,12.55060729%
2023-03-17,5.4400,4.8400,0.12396694,12.39669421%
2023-03-20,5.4100,4.9300,0.09736308,9.73630832%
2023-03-21,5.5300,5.0100,0.10379242,10.37924152%
2023-03-22,5.4900,4.9300,0.11359026,11.35902637%
2023-03-23,5.5600,4.9000,0.13469388,13.46938776%
2023-03-24,5.6200,4.9200,0.14227642,14.22764228%
2023-03-27,5.6600,4.9800,0.13654618,13.65461847%
2023-03-28,5.6300,4.9900,0.12825651,12.82565130%
2023-03-29,5.6900,5.0700,0.12228797,12.22879684%
2023-03-30,5.6400,5.1100,0.10371820,10.37181996%
2023-03-31,5.7400,5.1800,0.10810811,10.81081081%
2023-04-03,5.7300,5.2000,0.10192308,10.19230769%
2023-04-04,5.6700,5.1300,0.10526316,10.52631579%
2023-04-05,5.6400,5.1000,0.10588235,10.58823529%
2023-04-06,5.6200,5.1000,0.10196078,10.19607843%
2023-04-10,5.6200,5.1300,0.09551657,9.55165692%
2023-04-11,5.6500,5.1700,0.09284333,9.28433269%
2023-04-12,5.6500,5.1800,0.09073359,9.07335907%
2023-04-13,5.7000,5.2300,0.08986616,8.98661568%
2023-04-14,5.6600,5.2200,0.08429119,8.42911877%
2023-04-17,5.7200,5.2300,0.09369025,9.36902486%
2023-04-18,5.7400,5.2500,0.09333333,9.33333333%
2023-04-19,5.7300,5.2400,0.09351145,9.35114504%
2023-04-20,5.6900,5.2300,0.08795411,8.79541109%
2023-04-21,5.7000,5.2200,0.09195402,9.19540230%
2023-04-24,5.7000,5.2300,0.08986616,8.98661568%
2023-04-25,5.6550,5.1500,0.09805825,9.80582524%
2023-04-26,5.5600,5.0800,0.09448819,9.44881890%
2023-04-27,5.6300,5.1900,0.08477842,8.47784200%
2023-04-28,5.6600,5.2400,0.08015267,8.01526718%
2023-05-01,5.6400,5.2500,0.07428571,7.42857143%
2023-05-02,5.5700,5.1900,0.07321773,7.32177264%
2023-05-03,5.5500,5.1700,0.07350097,7.35009671%
2023-05-04,5.4900,5.1100,0.07436399,7.43639922%
2023-05-05,5.5400,5.2100,0.06333973,6.33397313%
2023-05-08,5.5600,5.2100,0.06717850,6.71785029%
2023-05-09,5.5300,5.1900,0.06551060,6.55105973%
2023-05-10,5.4800,5.1700,0.05996132,5.99613153%
2023-05-11,5.4800,5.1400,0.06614786,6.61478599%
2023-05-12,5.4200,5.1300,0.05653021,5.65302144%
2023-05-15,5.4700,5.1600,0.06007752,6.00775194%
2023-05-16,5.4000,5.0900,0.06090373,6.09037328%
2023-05-17,5.4800,5.1400,0.06614786,6.61478599%
2023-05-18,5.5100,5.1700,0.06576402,6.57640232%
2023-05-19,5.4900,5.1500,0.06601942,6.60194175%
2023-05-22,5.4600,5.1500,0.06019417,6.01941748%
2023-05-23,5.4600,5.0800,0.07480315,7.48031496%
2023-05-24,5.4200,5.0100,0.08183633,8.18363273%
2023-05-25,5.3700,5.0000,0.07400000,7.40000000%
2023-05-26,5.3500,5.0500,0.05940594,5.94059406%
2023-05-30,5.3300,5.0200,0.06175299,6.17529880%
2023-05-31,5.3700,4.9500,0.08484848,8.48484848%
2023-06-01,5.4400,5.0200,0.08366534,8.36653386%
2023-06-02,5.5700,5.1600,0.07945736,7.94573643%
2023-06-05,5.5100,5.1200,0.07617188,7.61718750%
2023-06-06,5.6200,5.1800,0.08494208,8.49420849%
2023-06-07,5.6800,5.2200,0.08812261,8.81226054%
2023-06-08,5.6900,5.2400,0.08587786,8.58778626%
2023-06-09,5.6800,5.2200,0.08812261,8.81226054%
2023-06-12,5.7100,5.2500,0.08761905,8.76190476%
2023-06-13,5.7800,5.3000,0.09056604,9.05660377%
2023-06-14,5.5700,5.1400,0.08365759,8.36575875%
2023-06-15,5.6600,5.2100,0.08637236,8.63723608%
2023-06-16,5.5800,5.2000,0.07307692,7.30769231%
2023-06-20,5.5800,5.1400,0.08560311,8.56031128%
2023-06-21,5.5600,5.1500,0.07961165,7.96116505%
2023-06-22,5.6800,5.1300,0.10721248,10.72124756%
2023-06-23,5.7000,5.0800,0.12204724,12.20472441%
2023-06-26,5.7700,5.1000,0.13137255,13.13725490%
2023-06-27,5.7400,5.1800,0.10810811,10.81081081%
2023-06-28,5.7300,5.1800,0.10617761,10.61776062%
2023-06-29,5.7700,5.2300,0.10325048,10.32504780%
2023-06-30,5.8000,5.3000,0.09433962,9.43396226%
2023-07-03,5.8700,5.3000,0.10754717,10.75471698%
2023-07-05,5.7900,5.2600,0.10076046,10.07604563%
2023-07-06,5.6800,5.2100,0.09021113,9.02111324%
2023-07-07,5.6500,5.2300,0.08030593,8.03059273%
2023-07-10,5.7100,5.2800,0.08143939,8.14393939%
2023-07-11,5.7200,5.3300,0.07317073,7.31707317%
2023-07-12,5.8100,5.3700,0.08193669,8.19366853%
2023-07-13,5.8000,5.4000,0.07407407,7.40740741%
2023-07-14,5.7500,5.3700,0.07076350,7.07635009%
2023-07-17,5.7500,5.3800,0.06877323,6.87732342%
2023-07-18,5.8200,5.4300,0.07182320,7.18232044%
2023-07-19,5.7800,5.4400,0.06250000,6.25000000%
2023-07-20,5.7400,5.4400,0.05514706,5.51470588%
2023-07-21,5.7200,5.4200,0.05535055,5.53505535%
2023-07-24,5.7000,5.4300,0.04972376,4.97237569%
2023-07-25,5.7000,5.4400,0.04779412,4.77941176%
2023-07-26,5.6700,5.4400,0.04227941,4.22794118%
2023-07-27,5.6200,5.3800,0.04460967,4.46096654%
2023-07-28,5.6700,5.4200,0.04612546,4.61254613%
2023-07-31,5.6700,5.4300,0.04419890,4.41988950%
2023-08-01,5.5900,5.4200,0.03136531,3.13653137%
2023-08-02,5.5100,5.3600,0.02798507,2.79850746%
2023-08-03,5.4900,5.3400,0.02808989,2.80898876%
2023-08-04,5.4700,5.3400,0.02434457,2.43445693%
2023-08-07,5.5100,5.3900,0.02226345,2.22634508%
2023-08-08,5.4800,5.3700,0.02048417,2.04841713%
2023-08-09,5.5100,5.3600,0.02798507,2.79850746%
2023-08-10,5.5200,5.3500,0.03177570,3.17757009%
2023-08-11,5.5000,5.3600,0.02611940,2.61194030%
2023-08-14,5.5200,5.3500,0.03177570,3.17757009%
2023-08-15,5.4400,5.2800,0.03030303,3.03030303%
2023-08-16,5.4000,5.2400,0.03053435,3.05343511%
2023-08-17,5.3500,5.1700,0.03481625,3.48162476%
2023-08-18,5.3300,5.1700,0.03094778,3.09477756%
2023-08-21,5.3500,5.1600,0.03682171,3.68217054%
2023-08-22,5.3100,5.1400,0.03307393,3.30739300%
2023-08-23,5.3900,5.2000,0.03653846,3.65384615%
2023-08-24,5.3500,5.1400,0.04085603,4.08560311%
2023-08-25,5.3900,5.1700,0.04255319,4.25531915%
2023-08-28,5.4100,5.2200,0.03639847,3.63984674%
2023-08-29,5.4800,5.2900,0.03591682,3.59168242%
2023-08-30,5.4900,5.3100,0.03389831,3.38983051%
2023-08-31,5.4600,5.2800,0.03409091,3.40909091%
2023-09-01,5.4600,5.2900,0.03213611,3.21361059%
2023-09-05,5.4000,5.1900,0.04046243,4.04624277%
2023-09-06,5.3700,5.1700,0.03868472,3.86847195%
2023-09-07,5.3600,5.1400,0.04280156,4.28015564%
2023-09-08,5.3900,5.1300,0.05068226,5.06822612%
2023-09-11,5.3900,5.1500,0.04660194,4.66019417%
2023-09-12,5.4700,5.1500,0.06213592,6.21359223%
2023-09-13,5.5400,5.1400,0.07782101,7.78210117%
2023-09-14,5.3400,5.0600,0.05533597,5.53359684%
2023-09-15,5.2700,5.0200,0.04980080,4.98007968%
2023-09-18,5.2600,5.0200,0.04780876,4.78087649%
2023-09-19,5.2600,5.0000,0.05200000,5.20000000%
2023-09-20,5.2700,4.9900,0.05611222,5.61122244%
2023-09-21,5.2600,4.9000,0.07346939,7.34693878%
2023-09-22,5.2900,4.8700,0.08624230,8.62422998%
2023-09-25,5.3100,4.8700,0.09034908,9.03490760%
2023-09-26,5.1900,4.7800,0.08577406,8.57740586%
2023-09-27,5.1800,4.7900,0.08141962,8.14196242%
2023-09-28,5.1600,4.8300,0.06832298,6.83229814%
2023-09-29,5.1300,4.7900,0.07098121,7.09812109%
2023-10-02,5.1200,4.7400,0.08016878,8.01687764%
2023-10-03,5.0000,4.6700,0.07066381,7.06638116%
2023-10-04,5.0300,4.6900,0.07249467,7.24946695%
2023-10-05,5.0100,4.6700,0.07280514,7.28051392%
2023-10-06,5.0000,4.7200,0.05932203,5.93220339%
2023-10-09,5.0500,4.7500,0.06315789,6.31578947%
2023-10-10,5.0800,4.8100,0.05613306,5.61330561%
2023-10-11,5.0500,4.8200,0.04771784,4.77178423%
2023-10-12,5.0700,4.7400,0.06962025,6.96202532%
2023-10-13,5.0000,4.7100,0.06157113,6.15711253%
2023-10-16,5.0200,4.7900,0.04801670,4.80167015%
2023-10-17,5.0400,4.8200,0.04564315,4.56431535%
2023-10-18,4.9700,4.7100,0.05520170,5.52016985%
2023-10-19,4.9100,4.6300,0.06047516,6.04751620%
2023-10-20,4.8700,4.5600,0.06798246,6.79824561%
2023-10-23,4.8100,4.5400,0.05947137,5.94713656%
2023-10-24,4.7700,4.5700,0.04376368,4.37636761%
2023-10-25,4.7300,4.5300,0.04415011,4.41501104%
2023-10-26,4.6800,4.5200,0.03539823,3.53982301%
2023-10-27,4.5900,4.4600,0.02914798,2.91479821%
2023-10-30,4.6100,4.5200,0.01991150,1.99115044%
2023-10-31,4.6400,4.5600,0.01754386,1.75438596%
2023-11-01,4.7300,4.6000,0.02826087,2.82608696%
2023-11-02,4.9300,4.7200,0.04449153,4.44915254%
2023-11-03,5.0400,4.8000,0.05000000,5.00000000%
2023-11-06,4.9600,4.7600,0.04201681,4.20168067%
2023-11-07,4.8800,4.7400,0.02953586,2.95358650%
2023-11-08,4.8400,4.7300,0.02325581,2.32558140%
2023-11-09,4.7300,4.7100,0.00424628,0.42462845%
2023-11-10,4.8300,4.7500,0.01684211,1.68421053%
2023-11-13,4.8300,4.7600,0.01470588,1.47058824%
2023-11-14,4.9400,4.9000,0.00816327,0.81632653%
2023-11-15,5.0000,4.9000,0.02040816,2.04081633%
2023-11-16,4.9900,4.8700,0.02464066,2.46406571%
2023-11-17,5.0500,4.9100,0.02851324,2.85132383%
2023-11-20,5.1300,4.9300,0.04056795,4.05679513%
2023-11-21,5.1000,4.9200,0.03658537,3.65853659%
2023-11-22,5.1100,4.9500,0.03232323,3.23232323%
2023-11-24,5.1000,4.9700,0.02615694,2.61569416%
2023-11-27,5.1000,4.9300,0.03448276,3.44827586%
2023-11-28,5.0900,4.9100,0.03665988,3.66598778%
2023-11-29,5.1000,4.9200,0.03658537,3.65853659%
2023-11-30,5.1000,4.9600,0.02822581,2.82258065%
2023-12-01,5.1300,5.0400,0.01785714,1.78571429%
2023-12-04,5.1500,5.0400,0.02182540,2.18253968%
2023-12-05,5.1000,4.9800,0.02409639,2.40963855%
2023-12-06,5.1500,4.9900,0.03206413,3.20641283%
2023-12-07,5.1600,5.0000,0.03200000,3.20000000%
2023-12-08,5.2100,5.0300,0.03578529,3.57852883%
2023-12-11,5.2900,5.0700,0.04339250,4.33925049%
2023-12-12,5.2800,5.0800,0.03937008,3.93700787%
2023-12-13,5.3300,5.1800,0.02895753,2.89575290%
2023-12-14,5.1800,5.1100,0.01369863,1.36986301%
2023-12-15,5.0900,5.0700,0.00394477,0.39447732%
2023-12-18,5.0600,5.0900,-0.00589391,-0.58939096%
2023-12-19,5.0400,5.1500,-0.02135922,-2.13592233%
2023-12-20,4.9800,5.0600,-0.01581028,-1.58102767%
2023-12-21,5.1100,5.1300,-0.00389864,-0.38986355%
2023-12-22,5.1300,5.1500,-0.00388350,-0.38834951%
2023-12-26,5.1700,5.1900,-0.00385356,-0.38535645%
2023-12-27,5.1200,5.2000,-0.01538462,-1.53846154%
