Z-Score Calculation Summary
====================================================================================================
Ticker: PCN
NAV Symbol: XPCNX
Start Date: 2022-12-22
End Date: 2025-12-22
Data Points: 720
Current Premium/Discount: 5.79345088% (0.057935)
Average Premium/Discount: 13.83550959% (0.138355)
STDEV.P: 5.08095673% (0.050810)
Z-Score: -1.58278433

====================================================================================================
Daily Price and NAV Data (3-Year Window)
====================================================================================================
Date,Price,NAV,Premium/Discount (Decimal),Premium/Discount (%)
2022-12-22,11.9800,11.3000,0.06017699,6.01769912%
2022-12-23,11.9900,11.3100,0.06012378,6.01237843%
2022-12-27,11.8000,11.2600,0.04795737,4.79573712%
2022-12-28,11.5100,11.2300,0.02493321,2.49332146%
2022-12-29,11.7700,11.2300,0.04808549,4.80854853%
2022-12-30,11.8500,11.2500,0.05333333,5.33333333%
2023-01-03,12.0600,11.2800,0.06914894,6.91489362%
2023-01-04,12.2300,11.2700,0.08518190,8.51818988%
2023-01-05,12.2500,11.2600,0.08792185,8.79218472%
2023-01-06,12.5200,11.3100,0.10698497,10.69849691%
2023-01-09,12.6400,11.3600,0.11267606,11.26760563%
2023-01-10,12.7000,11.3800,0.11599297,11.59929701%
2023-01-11,12.7000,11.4500,0.10917031,10.91703057%
2023-01-12,12.6400,11.4200,0.10683012,10.68301226%
2023-01-13,12.5800,11.4300,0.10061242,10.06124234%
2023-01-17,12.6500,11.4600,0.10383944,10.38394415%
2023-01-18,12.7200,11.5300,0.10320902,10.32090199%
2023-01-19,12.8400,11.5000,0.11652174,11.65217391%
2023-01-20,12.9700,11.5100,0.12684622,12.68462207%
2023-01-23,13.1100,11.5200,0.13802083,13.80208333%
2023-01-24,13.2500,11.5400,0.14818024,14.81802426%
2023-01-25,13.2500,11.5500,0.14718615,14.71861472%
2023-01-26,13.2900,11.5800,0.14766839,14.76683938%
2023-01-27,13.4000,11.5900,0.15616911,15.61691113%
2023-01-30,13.3900,11.5700,0.15730337,15.73033708%
2023-01-31,13.3800,11.6200,0.15146299,15.14629948%
2023-02-01,13.4900,11.6800,0.15496575,15.49657534%
2023-02-02,13.8400,11.7500,0.17787234,17.78723404%
2023-02-03,13.9200,11.7200,0.18771331,18.77133106%
2023-02-06,13.9000,11.6500,0.19313305,19.31330472%
2023-02-07,13.9850,11.6500,0.20042918,20.04291845%
2023-02-08,14.0000,11.6500,0.20171674,20.17167382%
2023-02-09,13.8200,11.6400,0.18728522,18.72852234%
2023-02-10,13.7100,11.5000,0.19217391,19.21739130%
2023-02-13,13.6300,11.5200,0.18315972,18.31597222%
2023-02-14,13.6300,11.5000,0.18521739,18.52173913%
2023-02-15,13.6400,11.5200,0.18402778,18.40277778%
2023-02-16,13.4300,11.4800,0.16986063,16.98606272%
2023-02-17,13.4300,11.5000,0.16782609,16.78260870%
2023-02-21,12.9400,11.4100,0.13409290,13.40929010%
2023-02-22,13.0000,11.4200,0.13835377,13.83537653%
2023-02-23,13.1900,11.4500,0.15196507,15.19650655%
2023-02-24,13.2400,11.4100,0.16038563,16.03856266%
2023-02-27,13.3800,11.4400,0.16958042,16.95804196%
2023-02-28,13.4500,11.4000,0.17982456,17.98245614%
2023-03-01,13.5500,11.3500,0.19383260,19.38325991%
2023-03-02,13.5800,11.3100,0.20070734,20.07073386%
2023-03-03,13.6200,11.3600,0.19894366,19.89436620%
2023-03-06,13.6400,11.3900,0.19754170,19.75417032%
2023-03-07,13.6500,11.3500,0.20264317,20.26431718%
2023-03-08,13.6700,11.3300,0.20653133,20.65313327%
2023-03-09,13.3300,11.3400,0.17548501,17.54850088%
2023-03-10,12.8600,11.2500,0.14311111,14.31111111%
2023-03-13,12.5500,11.2400,0.11654804,11.65480427%
2023-03-14,12.7700,11.1900,0.14119750,14.11974978%
2023-03-15,12.4400,11.1500,0.11569507,11.56950673%
2023-03-16,12.7200,11.1000,0.14594595,14.59459459%
2023-03-17,12.7200,11.1400,0.14183124,14.18312388%
2023-03-20,12.5300,11.1000,0.12882883,12.88288288%
2023-03-21,12.6700,11.1000,0.14144144,14.14414414%
2023-03-22,12.4200,11.1300,0.11590296,11.59029650%
2023-03-23,12.4000,11.1400,0.11310592,11.31059246%
2023-03-24,12.2900,11.0800,0.10920578,10.92057762%
2023-03-27,12.3100,11.0700,0.11201445,11.20144535%
2023-03-28,12.2500,11.0600,0.10759494,10.75949367%
2023-03-29,12.2700,11.1000,0.10540541,10.54054054%
2023-03-30,12.4600,11.1300,0.11949686,11.94968553%
2023-03-31,12.5400,11.1400,0.12567325,12.56732496%
2023-04-03,12.5200,11.1700,0.12085944,12.08594449%
2023-04-04,12.6700,11.1900,0.13226095,13.22609473%
2023-04-05,12.7400,11.1800,0.13953488,13.95348837%
2023-04-06,12.8000,11.2100,0.14183764,14.18376450%
2023-04-10,12.7900,11.1900,0.14298481,14.29848079%
2023-04-11,12.8200,11.1300,0.15184187,15.18418688%
2023-04-12,12.6800,11.0300,0.14959202,14.95920218%
2023-04-13,12.6900,11.0500,0.14841629,14.84162896%
2023-04-14,12.6900,11.0600,0.14737794,14.73779385%
2023-04-17,12.7000,11.0500,0.14932127,14.93212670%
2023-04-18,12.6100,11.0800,0.13808664,13.80866426%
2023-04-19,12.6400,11.0600,0.14285714,14.28571429%
2023-04-20,12.6100,11.0600,0.14014467,14.01446655%
2023-04-21,12.6300,11.0800,0.13989170,13.98916968%
2023-04-24,12.7100,11.0900,0.14607755,14.60775473%
2023-04-25,12.6600,11.1400,0.13644524,13.64452424%
